;null_trials;SOA;contrast;subj_response;obj_response
0;0;3;0.7;0;1
1;0;3;0.72;0;1
2;0;3;0.74;1;1
3;0;3;0.72;0;1
4;0;3;0.74;1;1
5;0;3;0.72;0;0
6;0;3;0.74;0;0
7;1;3;0.76;0;0
8;0;3;0.78;0;0
9;0;3;0.8;0;0
10;0;3;0.8200000000000001;0;0
11;0;3;0.8400000000000001;0;1
12;1;3;0.8600000000000001;0;1
13;0;3;0.8800000000000001;1;1
14;0;3;0.8600000000000001;0;1
15;0;3;0.8800000000000001;0;1
16;0;3;0.9000000000000001;1;1
17;0;3;0.8800000000000001;0;0
18;0;3;0.9000000000000001;0;1
19;0;3;0.9200000000000002;0;1
20;0;3;0.9400000000000002;0;0
21;0;3;0.9600000000000002;1;1
22;0;3;0.9400000000000002;0;0
23;0;3;0.9600000000000002;0;0
24;0;3;0.9800000000000002;0;0
25;0;3;1.0;0;1
26;0;3;1.0;0;0
27;0;3;1.0;0;1
28;0;3;1.0;1;1
29;0;3;0.98;1;1
30;0;3;0.96;1;1
31;0;3;0.94;1;1
32;0;3;0.9199999999999999;0;0
33;0;3;0.94;0;0
34;0;3;0.96;0;1
35;0;3;0.98;1;1
36;0;3;0.96;0;1
37;0;3;0.98;0;1
38;0;3;1.0;1;1
39;0;3;0.98;1;1
40;0;3;0.96;0;0
41;0;3;0.98;0;1
42;0;3;1.0;0;0
43;0;3;1.0;0;0
44;0;3;1.0;1;1
45;0;3;0.98;0;0
46;0;3;1.0;0;0
47;0;3;1.0;1;1
48;0;3;0.98;1;1
49;0;3;0.96;0;1
50;0;3;0.98;0;0
51;0;3;1.0;1;1
52;1;3;0.98;0;1
53;0;3;1.0;0;1
54;0;3;1.0;1;1
55;0;3;0.98;1;1
56;0;3;0.96;1;1
57;0;3;0.94;1;0
58;0;3;0.96;0;1
59;1;3;0.98;0;1
60;0;3;1.0;0;1
61;0;3;1.0;1;1
62;0;3;0.98;0;1
63;0;3;1.0;0;1
64;0;3;1.0;0;1
65;0;3;1.0;0;1
66;0;3;1.0;0;1
67;0;3;1.0;0;1
68;0;3;1.0;0;0
69;0;3;1.0;0;0
70;0;3;1.0;1;1
71;1;3;0.98;0;0
72;0;3;1.0;0;0
73;1;3;1.0;0;1
74;0;3;1.0;1;1
75;0;3;0.98;0;1
76;0;3;1.0;1;1
77;0;3;0.98;0;0
78;0;3;1.0;0;0
79;0;3;1.0;1;1
80;0;3;0.98;0;1
81;0;3;1.0;1;1
82;0;3;0.98;0;0
83;0;3;1.0;0;1
84;0;3;1.0;1;1
85;0;3;0.98;1;1
86;0;3;0.96;1;1
87;0;3;0.94;0;0
88;0;3;0.96;1;1
89;0;3;0.94;1;1
90;0;3;0.9199999999999999;0;1
91;0;3;0.94;1;1
92;0;3;0.9199999999999999;1;1
93;0;3;0.8999999999999999;0;1
94;0;3;0.9199999999999999;1;0
95;0;3;0.94;0;0
96;0;3;0.96;1;1
97;0;3;0.94;0;1
98;0;3;0.96;0;0
99;0;3;0.98;1;0
100;0;3;1.0;1;1
101;0;3;0.98;1;1
102;0;3;0.96;1;1
103;0;3;0.94;1;1
104;0;3;0.9199999999999999;1;1
105;0;3;0.8999999999999999;0;0
106;0;3;0.9199999999999999;0;1
107;0;3;0.94;1;0
108;0;3;0.96;0;1
109;0;3;0.98;1;1
110;0;3;0.96;1;0
111;0;3;0.98;1;1
112;0;3;0.96;0;0
113;0;3;0.98;1;1
114;0;3;0.96;1;1
115;0;3;0.94;1;1
116;0;3;0.9199999999999999;1;1
117;0;3;0.8999999999999999;1;1
118;0;3;0.8799999999999999;1;1
119;0;3;0.8599999999999999;0;0
120;0;3;0.8799999999999999;1;1
121;0;3;0.8599999999999999;1;1
122;0;3;0.8399999999999999;0;0
123;0;3;0.8599999999999999;1;1
124;0;3;0.8399999999999999;1;1
125;0;3;0.8199999999999998;1;0
126;0;3;0.8399999999999999;0;0
127;0;3;0.8599999999999999;1;1
128;0;3;0.8399999999999999;1;1
129;0;3;0.8199999999999998;0;0
130;0;3;0.8399999999999999;0;0
131;0;3;0.8599999999999999;0;0
132;0;3;0.8799999999999999;1;0
133;0;3;0.8999999999999999;0;1
134;0;3;0.9199999999999999;0;0
135;0;3;0.94;1;1
136;0;3;0.9199999999999999;1;0
137;0;3;0.94;1;1
138;0;3;0.9199999999999999;1;1
139;0;3;0.8999999999999999;1;1
140;0;3;0.8799999999999999;1;1
141;0;3;0.8599999999999999;1;1
142;0;3;0.8399999999999999;1;1
143;0;3;0.8199999999999998;1;1
144;0;3;0.7999999999999998;0;0
145;0;3;0.8199999999999998;1;1
146;0;3;0.7999999999999998;1;1
147;0;3;0.7799999999999998;0;0
148;0;3;0.7999999999999998;1;1
149;0;3;0.7799999999999998;1;1
150;0;3;0.7599999999999998;0;1
151;1;3;0.7799999999999998;0;1
152;0;3;0.7999999999999998;1;1
153;0;3;0.7799999999999998;0;1
154;0;3;0.7999999999999998;1;1
155;0;3;0.7799999999999998;0;0
156;0;3;0.7999999999999998;1;1
157;0;3;0.7799999999999998;0;1
158;0;3;0.7999999999999998;1;1
159;0;3;0.7799999999999998;0;0
160;0;3;0.7999999999999998;1;1
161;0;3;0.7799999999999998;1;1
162;0;3;0.7599999999999998;0;0
163;0;3;0.7799999999999998;0;1
164;1;3;0.7999999999999998;0;1
165;1;3;0.8199999999999998;0;0
166;0;3;0.8399999999999999;1;1
167;0;3;0.8199999999999998;1;1
168;0;3;0.7999999999999998;0;1
169;0;3;0.8199999999999998;1;1
170;0;3;0.7999999999999998;1;1
171;0;3;0.7799999999999998;0;0
172;0;3;0.7999999999999998;0;0
173;0;3;0.8199999999999998;0;1
174;0;3;0.8399999999999999;0;1
175;0;3;0.8599999999999999;0;0
176;0;3;0.8799999999999999;1;1
177;0;3;0.8599999999999999;0;1
178;0;3;0.8799999999999999;0;1
179;0;3;0.8999999999999999;1;1
180;0;3;0.8799999999999999;0;0
181;0;3;0.8999999999999999;1;1
182;0;3;0.8799999999999999;0;1
183;0;3;0.8999999999999999;0;1
184;0;3;0.9199999999999999;1;1
185;0;3;0.8999999999999999;0;0
186;0;3;0.9199999999999999;1;1
187;0;3;0.8999999999999999;0;1
188;0;3;0.9199999999999999;0;0
189;0;3;0.94;0;1
190;0;3;0.96;0;1
191;0;3;0.98;0;1
192;0;3;1.0;1;1
193;0;3;0.98;1;1
194;0;3;0.96;1;1
195;0;3;0.94;1;1
196;0;3;0.9199999999999999;1;1
197;1;3;0.8999999999999999;0;1
198;0;3;0.9199999999999999;1;1
199;0;3;0.8999999999999999;1;1
